城市,职位名称,职位描述,薪资,经验,学历,标签,更新时间,职位链接,公司名称,公司地址,成立日期,简介,,,,,,,,,,,,
上海,「Golang招聘」_bilibili招聘-BOSS直聘,计算机基础好，基本功扎实。丰富的服务端开发经验。思维敏捷，执行力强。有Golang开发经验或愿意学习。负责B站直播业务系统与技术推进。有高工岗，薪资可谈,15-30K,3-5年,本科,"后端开发,Golang,GO",2020/5/29,https://www.zhipin.com/job_detail/aba22bf34fba08e71XBz3N-9EFI~.html,上海哔哩哔哩科技有限公司,上海杨浦区国正中心3号楼,2016/12/30,哔哩哔哩（bilibili）是中国领先的年轻人文化社区，该网站于2009年6月26日创建，被粉丝们亲切的称为“B站”。 根据数据公司QuestMobile发布的《移动互联网2017年Q2夏季报告》，B站位列24岁及以下年轻用户偏爱的十大APP榜首。同时，在百度发布的2016热,,,,,,,,,,,,
上海,「Golang招聘」_中通快递招聘-BOSS直聘,部门为信息安全部to b 企业内部系统开发,15-30K·13薪,3-5年,本科,"Golang,管理系统,后端开发",2020/5/29,https://www.zhipin.com/job_detail/be2c36540bed8e970nF52dq5FVo~.html,上海中通吉网络技术有限公司,上海闵行区虹桥万科中心,2015/7/22,中通快递创建于2002年5月8日，是一家集快递、物流、电商、印务于一体的大型集团公司，注册商标“中通®”、“zto®”。  2016年10月27日，中通快递成功登陆美国纽约证券交易所，创当年美国证券市场最大IPO，也是继阿里巴巴20,,,,,,,,,,,,
上海,「Golang招聘」_哔哩哔哩-B站招聘-BOSS直聘,负责B站的投稿、审核、up主管理系统的开发与维护，思考与推动相关系统的平台化能力建设。,20-40K·15薪,经验不限,本科,"后端开发,GO,系统架构",2020/6/27,https://www.zhipin.com/job_detail/63b3cb61d4be154f1nd-2969GFc~.html,上海哔哩哔哩动画有限公司,上海浦东新区国际航运金融大厦,2013/8/14,bilibili 现为国内最大的年轻人潮流文化娱乐社区，该网站于2009年6月26日创建，又称“B站“。bilibili网站最大的特色是悬浮于视频上方的实时评论功能，爱好者称其为“弹幕”，这种独特的视频体验让基于互联网的即时弹幕能够超越时空限制,,,,,,,,,,,,
上海,「golang招聘」_中泰证券招聘-BOSS直聘,"岗位职责 1、负责app后台服务器开发，支撑百万日活项目； 2、根据需求，采用良好的解决方案，完成项目； 3、负责项目的维护优化，不断演进，提高性能和质量。 任职要求 1、至少2年以上Golang开发经验； 2、 熟悉主流Go Web框架设计和实现原理(gin、beego等)，了解gRPC； 3、熟悉Mysql, redis等主流数据库和Nosql,理解其使用场景及限制; 4、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、socket等相关技术； 5、熟悉分布式系统，微服务体系，熟练掌握一种以上服务框架和消息中间件，了解其实现原理。6、 有强烈的责任心、沟通能力强、有较强的团队合作意识，具备良好的独立思考能力。",15-30K·15薪,3-5年,本科,"Go,分布式技术,Socket技术",2020/6/24,https://www.zhipin.com/job_detail/22ba1f19ee1d46c20Xx-3tu9Fls~.html,中泰证券股份有限公司,上海市 浦东新区 陆家嘴投资大厦 浦电路360号,2001/5/15,中泰证券股份有限公司（原名齐鲁证券有限公司，以下简称“中泰证券”或“公司”）是全国大型综合类券商，目前有员工7400多人，在全国28个省、市、自治区设有41家证券分公司、280多家证券营业部，控股鲁证期货股份有限公司、中泰资本股权投资管理（深圳）有限公,,,,,,,,,,,,
上海,「Golang招聘」_腾讯招聘-BOSS直聘,工作职责：负责AI解决方案后端功能开发与性能优化；负责后端分布式高可用架构设计与开发；负责海量人脸检索系统的架构设计、开发、性能调优。工作要求：3年以上Linux后台服务器开发经验；具备良好的编程能力，熟练掌握C/C++，熟悉python，熟悉网络编程和数据库；对后台性能优化、架构设计有一定的理解，熟练使用GDB等调试工具；有高性能大容量服务器系统设计经验者优先；有模式识别相关应用开发经验者优先；有视频或者GPU加速开发相关经验者优先。,30-45K,5-10年,本科,"C++,分布式技术,后端开发,Linux,架构师,Go,深度学习算法,人工智能",2020/5/29,https://www.zhipin.com/job_detail/5e35f151a2f187050XJ529W1GVE~.html,腾讯科技（上海）有限公司,上海徐汇区漕河泾现代服务业园区,2008/7/23,*（有兴趣的同学可以直接发送简历提高效率，看到即回复）腾讯以技术丰富互联网用户的生活。通过通信及社交平台微信和 QQ 促进用户联系，并助其连接数字内容和生活服务，尽在弹指间。通过高效广告平台，协助品牌和市场营销者触达数以亿计的中国消费者。通过金融科技及企业服务，促进合作伙伴业务发展，助力实,,,,,,,,,,,,
上海,「Golang招聘」_今日头条招聘-BOSS直聘,职位描述1、负责服务端业务开发、架构设计等工作；2、分析系统瓶颈，解决各种疑难问题，对系统进行性能调优；3、主要实现语言为Golang（可入公司后再学，不强性要求）。职位要求1、大学本科(统招)及以上学历，计算机、通信等相关专业；2、有扎实的编程能力，追求优雅的设计和优秀的代码质量，高标准；3、深刻理解计算机原理，有良好的数据结构和算法基础；4、熟悉LNMP Web架构，熟悉laravel(PHP)、grpc(Golang)、docker、k8s者优先；5、熟悉Mysql、Memcache、Redis、消息队列等常用WEB组件;6、有高并发服务设计和实现经验优先；7、有较好的产品意识优先；8、积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力；9、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新技术社招+校招,40-70K·15薪,在校/应届,本科,"Go,容器技术,后端开发,算法设计,推荐算法,计算机软件,Java",2020/6/27,https://www.zhipin.com/job_detail/f6665954cc2680f60XF829m6EFc~.html,字节跳动有限公司,上海杨浦区上海合生国际广场,2016/5/4,字节跳动成立于2012年3月，目前公司的产品和服务已覆盖全球150个国家和地区、75个语种，曾在40多个国家和地区排在应用商店总榜前列。字节跳动在海内外推出了多款有影响力的产品，包括综合资讯类的今日头条，视频类的抖音、TikTok、西瓜视频、抖音火山版、Vigo Video，以及教育产品、企业Sa,,,,,,,,,,,,
上海,「golang招聘」_晓信招聘-BOSS直聘,"技术团队100人+后端30人+任职要求:1、大学本科以上学历计算机相关专业；2、一年以上Go语言开发经验；3、熟练掌握MySQL、mongodb、Redis,熟悉Linux者优先；4、熟练掌握常用数据结构和算法；5、熟悉Socket和多线程编程；6、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力；7、学习能力强，能够无障碍阅读英文技术文档。欢迎应届生投递！我们的优势1、全栈Go语言开发高可用、 高并发（700万日活）的后端组件、服务，实现你的高并发梦；2、服务微服务化，全部上k8s且一键部署，减轻你的部署烦恼；3、公共仓库，可以看到所有的Go代码，满足你的求知欲；4、定期技术分享，可换岗学习，让你距离大牛越来越近；",20-30K·13薪,1-3年,本科,"Go,C++,MySQL,mongodb,Redis,Linux",2020/5/29,https://www.zhipin.com/job_detail/b472c1e6da9a23440Hd53d-1F1E~.html,上海晓信信息科技有限公司,上海杨浦区中航·天盛广场-C楼办公楼6楼,2015/4/9,晓黑板是基于青少年的成长规律、根据老师与家长的需求定制的一款专业、科学、现代化的家校沟通与家校管理工具。截止2020年2月，晓黑板在全国覆盖了11万多所学校，有200余万教师和4000余万家庭正在使用晓黑板。晓黑板由上海晓信信息科技有限公司出品，公司成立于2015年，深耕中国K12基础教育领域的互,,,,,,,,,,,,
上海,「Golang招聘」_蚂蚁胜信招聘-BOSS直聘,外包监控产品开发运维客户支持,15-30K,1-3年,大专,Go,2020/5/29,https://www.zhipin.com/job_detail/18ad9f2e69ae197f0XF_2NS5E1E~.html,蚂蚁胜信（上海）信息技术有限公司,上海浦东新区陆家嘴1885广场,2015/4/2,蚂蚁金服是一家旨在为世界带来普惠金融服务的科技企业。蚂蚁金服起步于 2004 年成立的支付宝。2014 年 10 月，蚂蚁金服正式成立。蚂蚁金服以“为世界带来更多平等的机会”为使命，致力于通过科技创新能力，搭建一个开放、共享的信用体系和金融服务平台，为全球消费者和小,,,,,,,,,,,,
上海,「Golang招聘」_拼多多招聘-BOSS直聘,"研发效能工程师工作内容1、发现并定义研发痛点，打造全公司研发效能相关平台, 提升研发效率2、开发和持续改进 告警系统,CMDB,流程系统，构建平台,发布平台，Agent 平台3、负责公司自动化项目和平台的开发任职要求：1、3年以上的开发经验, 有独立项目开发上线运维经验2、基础知识扎实, 熟悉常见的数据结构和算法3、熟悉 golang，java，python等语言开发4、热爱技术，有较强的学习能力、问题分析和技术攻关能力5、有良好的时间观念，能很好的沟通交流，乐于分享加分项：1.有相关项目开发经验者优先2.全栈工程师优先",30-45K,3-5年,学历不限,"Golang,Python,Java",2020/5/29,https://www.zhipin.com/job_detail/550cb23900c1879c1Hxz39m8FFs~.html,拼多多（上海）网络科技有限公司,上海长宁区金虹桥国际中心,2016/10/28,拼多多于2018年7月26日正式登陆纳斯达克全球精选板块，股票代码：PDD。拼多多是中国新电商模式的开创者，目前拥有超过3.44亿的活跃买家和超过170万活跃商家。在以人为先的理念下，拼多多融合物质消费与精神消费，用户可以通过拼单，与好友分享买到便宜好货的快乐。同时，拼多多还构建了分布式,,,,,,,,,,,,
上海,「Golang招聘」_微软中国招聘-BOSS直聘,Base苏州！！！1、一年以上软件开发相关经验2、扎实的计算机专业知识，熟练掌握一门计算机编程语言包括但不限于C＃，java、c++、python、C#、go等3、本科以上学历，有技术热情，良好的算法能力，能很好与人沟通协作,20-40K,1-3年,本科,"Go,C++,Python,Java,C#",2020/6/23,https://www.zhipin.com/job_detail/3424830190cdc72b0Xx_2dy8EVU~.html,微软（中国）有限公司,上海徐汇区微软中国,1995/11/1,微软，是一家美国跨国科技公司，也是世界PC（Personal Computer，个人计算机）软件开发的先导，由比尔·盖茨与保罗·艾伦创办于1975年，公司总部设立在华盛顿州的雷德蒙德（Redmond，邻近西雅图）。以研发、制造、授权和提供广泛的电脑软件服务业务为主。最为,,,,,,,,,,,,
